round,score,avg_score_200,reward,avg_reward_200,coins,kills,suicides,crates_destroyed,alive_fraction
6157,1,2.1,4.9,164.0,1,0,1,8,0
6158,1,2.1,47.3,164.54,1,0,1,7,0
6159,2,2.1,156.0,164.53,2,0,0,10,0
6160,1,2.11,107.2,164.98,1,0,1,16,0
6161,1,2.11,228.4,164.79,1,0,0,14,0
6162,3,2.08,229.7,164.0,3,0,0,13,0
6163,7,2.11,139.3,164.44,2,1,1,9,0
6164,1,2.1,147.5,163.96,1,0,0,15,0
6165,3,2.12,483.4,166.73,3,0,0,27,0
6166,2,2.12,158.7,167.05,2,0,1,16,0
6167,3,2.12,489.0,167.97,3,0,0,19,1
6168,5,2.15,57.4,168.06,0,1,1,14,0
6169,0,2.13,60.7,167.32,0,0,1,14,0
6170,0,2.12,71.1,167.45,0,0,0,10,0
6171,4,2.13,218.7,166.5,4,0,0,11,0
6172,1,2.13,188.7,165.17,1,0,0,12,0
6173,1,2.1,-48.5,163.95,1,0,1,10,0
6174,0,2.1,139.2,166.15,0,0,0,8,0
6175,1,2.11,366.0,167.72,1,0,0,16,1
6176,0,2.1,-25.0,166.89,0,0,0,4,0
6177,2,2.1,85.7,167.17,2,0,1,14,0
6178,0,2.1,14.7,166.95,0,0,0,11,0
6179,0,2.1,-2.3,164.39,0,0,1,11,0
6180,2,2.09,165.1,164.2,2,0,0,14,0
6181,2,2.08,111.4,163.14,2,0,1,18,0
6182,1,2.08,59.0,162.1,1,0,0,8,0
6183,0,2.07,105.0,161.91,0,0,0,18,0
6184,6,2.1,315.0,163.15,1,1,1,16,0
6185,0,2.1,57.7,162.63,0,0,0,10,0
6186,2,2.08,323.3,163.25,2,0,0,22,1
6187,1,2.08,84.2,162.36,1,0,0,7,1
6188,0,2.07,-59.1,160.88,0,0,0,6,0
6189,0,2.07,62.5,162.04,0,0,1,15,0
6190,0,2.06,12.9,160.19,0,0,1,9,0
6191,3,2.08,217.1,164.21,3,0,0,21,0
6192,0,2.07,218.5,165.35,0,0,0,13,0
6193,0,2.06,-123.3,164.6,0,0,0,13,0
6194,2,2.07,76.2,164.89,2,0,1,11,0
6195,2,2.08,14.5,164.29,2,0,1,8,0
6196,0,2.08,5.6,163.83,0,0,0,11,0
6197,1,2.08,73.4,162.37,1,0,0,7,0
6198,1,2.08,153.9,163.52,1,0,0,13,0
6199,2,2.09,110.6,163.62,2,0,0,11,0
6200,6,2.11,103.4,163.07,1,1,0,7,0
6201,2,2.12,109.8,164.51,2,0,0,9,0
6202,1,2.1,155.7,162.73,1,0,0,15,0
6203,1,2.1,-312.3,160.22,1,0,0,7,1
6204,1,2.08,47.2,159.56,1,0,0,8,0
6205,13,2.15,401.2,163.29,3,2,0,22,1
6206,4,2.15,218.2,163.38,4,0,1,16,0
6207,2,2.15,63.7,162.08,2,0,1,17,0
6208,1,2.13,0.4,160.54,1,0,1,8,0
6209,3,2.14,226.2,161.09,3,0,0,10,0
6210,0,2.13,-54.8,159.35,0,0,0,3,0
6211,0,2.08,-62.3,156.32,0,0,0,7,0
6212,1,2.08,112.4,155.63,1,0,1,19,0
6213,1,2.09,96.6,155.65,1,0,0,10,0
6214,5,2.1,381.1,155.97,0,1,0,12,0
6215,2,2.1,184.9,156.69,2,0,1,17,0
6216,1,2.1,139.1,155.37,1,0,0,13,0
6217,3,2.1,189.8,157.36,3,0,1,13,0
6218,1,2.1,226.4,157.58,1,0,0,15,1
6219,0,2.1,66.1,156.22,0,0,0,7,0
6220,1,2.1,75.3,156.4,1,0,1,16,0
6221,4,2.1,277.0,157.33,4,0,0,19,0
6222,0,2.1,214.0,156.98,0,0,0,17,0
6223,3,2.08,375.2,156.64,3,0,0,28,0
6224,0,2.08,21.2,154.78,0,0,1,9,0
6225,5,2.11,333.9,156.23,0,1,0,20,0
6226,0,2.07,-192.4,154.01,0,0,1,5,0
6227,4,2.09,159.2,154.98,4,0,1,13,0
6228,2,2.08,41.8,153.34,2,0,1,7,0
6229,0,2.06,91.7,153.9,0,0,1,14,0
6230,8,2.1,143.3,153.06,3,1,0,14,1
6231,2,2.09,172.0,152.64,2,0,1,7,0
